Andhra Pradesh	AP
Arunachal Pradesh	AR
Assam	AS
Bihar	BR
Chhattisgarh	CG
Goa	GA
Gujarat	GJ
Haryana	HR
Himachal Pradesh	HP
Jharkhand	JH
Karnataka	KA
Kerala	KL
Madhya Pradesh	MP
Maharashtra	MH
Manipur	MN
Meghalaya	ML
Mizoram	MZ
Nagaland	NL
Odisha	OD
Punjab	PB
Rajasthan	RJ
Sikkim	SK
Tamil Nadu	TN
Tripura	TR
Uttar Pradesh	UP
Uttarakhand	UK
Uttrakhand UA
West Bengal	WB
Telangana	TS
Andaman and Nicobar Islands	AN
Chandigarh	CH
Dadra and nagar Haveli and Daman and Diu	DD
Jammu and Kashmir	JK
Ladakh	LA
Lakshadweep	LD
National Capital Territory of Delhi	DL
Puducherry	PY
